Organization Name,Funding Type,Money Raised (in USD),Announced Date,Equity Only Funding,Lead Investors,Investor Names
Twelve,Series A,57000000,2021-07-08,Yes,Capricorn Investment Group,"Breakout Ventures, Capricorn Investment Group, DCVC, Evok Innovations, Microsoft Climate Innovation Fund, Munich Re Ventures, Twynam Agricultural Group"
Twelve,Grant,225000,2016-06-21,No,National Science Foundation,National Science Foundation
Twelve,Grant,1209997,2017-09-18,No,National Science Foundation,National Science Foundation
Urban Volt,Series A,8220101,2020-10-13,Yes,Ireland Strategic Investment Fund,"Ireland Strategic Investment Fund, Stephen Vernon"
Urban Volt,Private Equity,28191525,2023-08-31,Yes,Verdane,Verdane
Urban Volt,Debt Financing,29217212,2022-10-07,No,Solas Capital,Solas Capital
Urban Volt,Corporate Round,64151987,2018-07-12,Yes,Low Carbon,Low Carbon
Urban Volt,Debt Financing,37976406,2022-05-17,No,,"Beach Point Capital Management, Business Venture Partners"
Urban Volt,Private Equity,33174831,2016-11-01,Yes,,
Verkor,Debt Financing,1410954652,2024-05-24,No,,"ABN AMRO Bank, ANZ, Banque des Territoires, Bpifrance, Caisse d'Epargne Hauts de France, Caisse d'Epargne Rhone Alpes, Caisse des Dépôts et Consignations, Clidrive, ING Bank, KfW IPEX Bank, Kommunalkredit Austria, La Banque Postale, Mizuho Bank, MUFG Bank, Natixis, SMBC Trust Bank, Societe Generale, Standard Chartered Bank"
Verkor,Series C,903977394,2023-09-14,Yes,Macquarie Group,"Bpifrance, CMA CGM Ventures, Credit Agricole Assurances, EIT InnoEnergy, EQT Ventures, Fonds Stratégique de Participations, Macquarie Asset Management, Macquarie Group, Meridiam, Renault Group, Sibanye-Stillwater"
Verkor,Venture - Series Unknown,117931204,2021-07-07,Yes,"EQT Ventures, Renault Group","Arkema, Capgemini, Demeter, EIT InnoEnergy, EQT Ventures, Government of France, Groupe IDEC, Renault Group, Schneider Electric, Tokai COBEX"
Verkor,Private Equity,245347476,2022-11-02,Yes,,"Bpifrance, Demeter, European Investment Bank, Groupe IDEC"
Verkor,Grant,691276831,2023-09-14,No,,"European Commission, France 2030"
Verkor,Venture - Series Unknown,22322923,2022-03-30,Yes,Plastic Omnium,Plastic Omnium
Verkor,Debt Financing,649541153,2023-08-28,No,European Investment Bank,European Investment Bank
VoltStorage,Debt Financing,33094319,2023-07-28,No,European Investment Bank,European Investment Bank
VoltStorage,Seed,1586764,2017-02-14,Yes,SmartEnergy Innovation Fund,"Energie360°, SmartEnergy Innovation Fund, SOSV"
VoltStorage,Series A,2592961,2018-08-09,Yes,SmartEnergy Innovation Fund,SmartEnergy Innovation Fund
VoltStorage,Series B,6938847,2020-07-22,Yes,"Bayern Kapital, EIT InnoEnergy, Korys","Bayern Kapital, EIT InnoEnergy, Energie360°, Korys, Matthias Willenbacher, SOSV"
VoltStorage,Series B,5933612,2021-07-30,Yes,,"Bayern Kapital, EIT InnoEnergy, kopa ventures, Korys, SOSV"
VoltStorage,Series C,24461067,2022-07-28,Yes,Cummins,Cummins
VoltStorage,Grant,85652,2018-05-01,No,,EASME
zolar,Series C,105795252,2022-05-19,Yes,"Energy Impact Partners, GIC","Energy Impact Partners, GIC, Heartcore Capital, Inven Capital, Pirate Impact, Statkraft Ventures"
zolar,Debt Financing,108621506,2024-04-08,No,BNP Paribas,BNP Paribas
zolar,Series B,11090495,2019-08-27,Yes,"BayWa r.e. Energy Ventures, Inven Capital","BayWa r.e. Energy Ventures, Heartcore Capital, Inven Capital, Partech, Statkraft Ventures"
zolar,Series B,17736786,2020-09-10,Yes,Inven Capital,"BayWa r.e. Energy Ventures, Heartcore Capital, Inven Capital, Partech, Statkraft Ventures, TS Ventures"
zolar,Series A,4711292,2017-11-16,Yes,"Heartcore Capital, Statkraft Ventures","Heartcore Capital, Partech, Statkraft Ventures, Tim Schumacher"
zolar,Series B,11901404,2021-03-16,Yes,Energy Impact Partners,"AENU, Energy Impact Partners"
zolar,Debt Financing,22735695,2021-11-18,No,Berliner Volksbank,Berliner Volksbank
